rfq_id,similar_rfq_id,rank,similarity
ca60a74b-7cdc-4098-a20c-2de916dcb66b,63140d1f-dda8-40fe-8931-bcaba65d5772,1,0.3
ca60a74b-7cdc-4098-a20c-2de916dcb66b,11cffc57-44be-4d79-bfd5-97482be566d3,2,0.3
ca60a74b-7cdc-4098-a20c-2de916dcb66b,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,3,0.3
df6085e7-42f9-4ce3-92b0-3a7a24159a61,63140d1f-dda8-40fe-8931-bcaba65d5772,1,0.3
df6085e7-42f9-4ce3-92b0-3a7a24159a61,11cffc57-44be-4d79-bfd5-97482be566d3,2,0.3
df6085e7-42f9-4ce3-92b0-3a7a24159a61,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,3,0.3
e46aa804-164c-4907-a7ca-07a99d66d1b6,094422ce-696c-482d-9927-c3cfbf347f7a,1,0.3
e46aa804-164c-4907-a7ca-07a99d66d1b6,bab67e88-be02-40c9-b3d7-b43a4adff716,2,0.3
e46aa804-164c-4907-a7ca-07a99d66d1b6,b8257184-6307-46ab-b06e-d979336d1263,3,0.28538461538461535
094422ce-696c-482d-9927-c3cfbf347f7a,e46aa804-164c-4907-a7ca-07a99d66d1b6,1,0.3
094422ce-696c-482d-9927-c3cfbf347f7a,bab67e88-be02-40c9-b3d7-b43a4adff716,2,0.3
094422ce-696c-482d-9927-c3cfbf347f7a,b8257184-6307-46ab-b06e-d979336d1263,3,0.28538461538461535
a462a4cb-bbaa-4417-b876-4b8606c6f8db,920dcf5c-136f-4ffc-9449-03f00c1b5a46,1,0.3
a462a4cb-bbaa-4417-b876-4b8606c6f8db,7729084d-fc2d-41d8-a8df-891da74078f1,2,0.3
a462a4cb-bbaa-4417-b876-4b8606c6f8db,86008598-05ed-4532-8a70-e8ee8daf3796,3,0.3
7729084d-fc2d-41d8-a8df-891da74078f1,920dcf5c-136f-4ffc-9449-03f00c1b5a46,1,0.3
