rfq_id,match_id,similarity_score
5242c623-abc6-4cc8-a1e3-dde93a899f00,fc13df3e-75cb-471f-9bd0-52ad2a8bfd9f,0.5
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,e46da0fc-64a2-40da-9482-0978978d74e7,0.5
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,1d746f17-0484-43df-bde3-783203462c19,0.5
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,fc13df3e-75cb-471f-9bd0-52ad2a8bfd9f,0.5
de734972-0ed4-47d2-85ed-94c639524ef3,aa2e0c44-58f4-4162-986e-777a2925fc4a,0.45
de734972-0ed4-47d2-85ed-94c639524ef3,a6dddd00-595d-41a8-9b00-c54a2591ad02,0.45
de734972-0ed4-47d2-85ed-94c639524ef3,36f09928-cc72-441a-8f0b-5ed7ddb3049c,0.45
b48a1279-3852-4482-902f-203558c37a33,920dcf5c-136f-4ffc-9449-03f00c1b5a46,0.5
b48a1279-3852-4482-902f-203558c37a33,3fe05d73-7de1-4c32-ad94-991ff0ad4290,0.5
b48a1279-3852-4482-902f-203558c37a33,c6b9fba1-6df0-44d6-bb69-f04dcdfae21d,0.5
02c609c9-52b4-49d5-b6e8-cc14787f1822,920dcf5c-136f-4ffc-9449-03f00c1b5a46,0.4999
02c609c9-52b4-49d5-b6e8-cc14787f1822,c6b9fba1-6df0-44d6-bb69-f04dcdfae21d,0.4999
02c609c9-52b4-49d5-b6e8-cc14787f1822,16406759-f46f-4428-8e38-ab14c2ff84a4,0.4999
3fe05d73-7de1-4c32-ad94-991ff0ad4290,920dcf5c-136f-4ffc-9449-03f00c1b5a46,0.5
3fe05d73-7de1-4c32-ad94-991ff0ad4290,b48a1279-3852-4482-902f-203558c37a33,0.5
3fe05d73-7de1-4c32-ad94-991ff0ad4290,c6b9fba1-6df0-44d6-bb69-f04dcdfae21d,0.5
0e375556-7947-4dc0-a628-d1674e5d1658,aafdee84-7b34-40d0-bda0-1f1ac409258b,0.5
0e375556-7947-4dc0-a628-d1674e5d1658,483c78a1-37de-4045-b914-87ed455d1149,0.4795
0e375556-7947-4dc0-a628-d1674e5d1658,483c78a1-37de-4045-b914-87ed455d1149,0.4795
82456e41-801e-4f90-9263-6c96d3e72160,5190b002-36f4-497b-b1aa-856762facb07,0.4999
82456e41-801e-4f90-9263-6c96d3e72160,de6b456d-3097-4e8a-a61f-0d9fb1625f4f,0.4998
82456e41-801e-4f90-9263-6c96d3e72160,00957f2f-a340-4843-9ed8-a70ce4848bae,0.4996
